category_name,category_id
new genre public art,http://www.wikidata.org/entity/Q3875231
Q3905891,http://www.wikidata.org/entity/Q3905891
Lombard painting,http://www.wikidata.org/entity/Q3905896
Proun,http://www.wikidata.org/entity/Q3924366
Q3941968,http://www.wikidata.org/entity/Q3941968
Romanesque sculpture,http://www.wikidata.org/entity/Q3953215
Genoa school,http://www.wikidata.org/entity/Q3953335
Nul,http://www.wikidata.org/entity/Q3959046
Q3978012,http://www.wikidata.org/entity/Q3978012
supermodernity,http://www.wikidata.org/entity/Q3978162
Metarealism,http://www.wikidata.org/entity/Q4291635
Q4292891,http://www.wikidata.org/entity/Q4292891
Necrorealism,http://www.wikidata.org/entity/Q4316672
Neo-conceptual art,http://www.wikidata.org/entity/Q4317200
neosurrealism,http://www.wikidata.org/entity/Q4317244
New British Sculpture,http://www.wikidata.org/entity/Q4322399
Nuevo Cine Mexicano,http://www.wikidata.org/entity/Q4323900
abstract impressionism,http://www.wikidata.org/entity/Q4414064
Q4446608,http://www.wikidata.org/entity/Q4446608
Kristiania Bohemians,http://www.wikidata.org/entity/Q4587039
altermodern,http://www.wikidata.org/entity/Q4736321
American modernism,http://www.wikidata.org/entity/Q4745501
American realism,http://www.wikidata.org/entity/Q4745527
Anglo-Japanese style,http://www.wikidata.org/entity/Q4763641
Angry Penguins,http://www.wikidata.org/entity/Q4763941
artistic dress,http://www.wikidata.org/entity/Q4801255
Australian Tonalism,http://www.wikidata.org/entity/Q4824756
La Decadència,http://www.wikidata.org/entity/Q4894424
Bezalel school,http://www.wikidata.org/entity/Q4900293
Billboard Utilising Graffitists Against Unhealthy Promotions,http://www.wikidata.org/entity/Q4911758
Black Arts Movement,http://www.wikidata.org/entity/Q4920294
California Impressionism,http://www.wikidata.org/entity/Q5020754
California Tonalism,http://www.wikidata.org/entity/Q5021142
Chicago Imagists,http://www.wikidata.org/entity/Q5095653
Chicano art movement,http://www.wikidata.org/entity/Q5095938
Classical Realism,http://www.wikidata.org/entity/Q5128307
Colourist painting,http://www.wikidata.org/entity/Q5149240
Contemporary Realism,http://www.wikidata.org/entity/Q5165033
Cyberformance,http://www.wikidata.org/entity/Q5197782
electronic art,http://www.wikidata.org/entity/Q5358332
artcore,http://www.wikidata.org/entity/Q5392990
Funk art,http://www.wikidata.org/entity/Q5509243
Neocubism,http://www.wikidata.org/entity/Q5640653
Halqa-e Arbab-e Zauq,http://www.wikidata.org/entity/Q5643493
Heptanese School,http://www.wikidata.org/entity/Q5732065
Counter-Maniera,http://www.wikidata.org/entity/Q5785188
costumbrismo andaluz,http://www.wikidata.org/entity/Q5790159
Q5791892,http://www.wikidata.org/entity/Q5791892
Q5792326,http://www.wikidata.org/entity/Q5792326
Q5839191,http://www.wikidata.org/entity/Q5839191
Modern sculpture,http://www.wikidata.org/entity/Q5839475
Neoclassical sculpture,http://www.wikidata.org/entity/Q5839901
Flemish Expressionism,http://www.wikidata.org/entity/Q5853514
ugly design,http://www.wikidata.org/entity/Q5861444
Generación del 45,http://www.wikidata.org/entity/Q5876881
Hoosier Group,http://www.wikidata.org/entity/Q5898564
Q5900630,http://www.wikidata.org/entity/Q5900630
hypermodernism,http://www.wikidata.org/entity/Q5958328
Herat school,http://www.wikidata.org/entity/Q5958652
Q5962905,http://www.wikidata.org/entity/Q5962905
Saqqa-khaneh school,http://www.wikidata.org/entity/Q5963937
Q5980133,http://www.wikidata.org/entity/Q5980133
Idyllic school,http://www.wikidata.org/entity/Q5989924
Igbo art,http://www.wikidata.org/entity/Q5991589
Art Nouveau architecture in Cartagena and La Unión,http://www.wikidata.org/entity/Q6020231
Indochristian art,http://www.wikidata.org/entity/Q6025696
information art,http://www.wikidata.org/entity/Q6031007
Intentism,http://www.wikidata.org/entity/Q6044489
Classicist painting,http://www.wikidata.org/entity/Q6076367
Q6160757,http://www.wikidata.org/entity/Q6160757
Kalighat painting,http://www.wikidata.org/entity/Q6352595
Q6431475,http://www.wikidata.org/entity/Q6431475
Light and Space,http://www.wikidata.org/entity/Q6546135
Little Theatre Movement,http://www.wikidata.org/entity/Q6652208
Ljubljana Graphic School,http://www.wikidata.org/entity/Q6660937
low-complexity art,http://www.wikidata.org/entity/Q6692726
minimalism,http://www.wikidata.org/entity/Q6865348
Minjung art,http://www.wikidata.org/entity/Q6867771
Mission School,http://www.wikidata.org/entity/Q6878743
Modern Indian painting,http://www.wikidata.org/entity/Q6888716
Modular constructivism,http://www.wikidata.org/entity/Q6889711
Nanyang Style,http://www.wikidata.org/entity/Q6964471
Neo-Fauvism,http://www.wikidata.org/entity/Q6991721
New Sincerity,http://www.wikidata.org/entity/Q7011515
Northwest School,http://www.wikidata.org/entity/Q7060194
Nouvelle tendance,http://www.wikidata.org/entity/Q7063969
Nuagisme,http://www.wikidata.org/entity/Q7067781
passionism,http://www.wikidata.org/entity/Q7142779
Pattern and Decoration,http://www.wikidata.org/entity/Q7148372
Ponce Creole,http://www.wikidata.org/entity/Q7227583
Post-expressionism,http://www.wikidata.org/entity/Q7233539
Post-surrealism,http://www.wikidata.org/entity/Q7233587
Quito School,http://www.wikidata.org/entity/Q7272667
Rasa Renaissance,http://www.wikidata.org/entity/Q7294693
Remodernism,http://www.wikidata.org/entity/Q7312050
Rivington School,http://www.wikidata.org/entity/Q7338891
Rococo Revival,http://www.wikidata.org/entity/Q7356060
Russian neoclassical revival,http://www.wikidata.org/entity/Q7382246
Samikshavad,http://www.wikidata.org/entity/Q7409441
scratch video,http://www.wikidata.org/entity/Q7438843
Shock art,http://www.wikidata.org/entity/Q7499861
SoFlo Superflat,http://www.wikidata.org/entity/Q7548994
The Edinburgh School,http://www.wikidata.org/entity/Q7731585
"Quilts of Gees Bend, Alabama",http://www.wikidata.org/entity/Q7759116
Tranimal,http://www.wikidata.org/entity/Q7833427
Ukrainian avant-garde,http://www.wikidata.org/entity/Q7878530
Vitralism,http://www.wikidata.org/entity/Q7937217
